n_valid,agreement,precision_cloud,recall_cloud,specificity_clear,balanced_accuracy,f1_cloud,iou_cloud,mcc,TP,TN,FP,FN,cloud_fraction_epic,cloud_fraction_geo,cloud_fraction_bias_geo_minus_epic,boundary_f1,boundary_precision,boundary_recall,boundary_chamfer_px,n_boundary_epic,n_boundary_geo,case_id,candidate_variant,comparison_domain,policy,source,navigation_note,cloud_mask_transform,source_valid_count_before_reprojection,epic_source_valid_before_policy,stage09d_epic_time_utc,stage_run_dir
1344139,0.5284632020944262,0.5756851204708479,0.5991043740521026,0.4386633683442151,0.5188838711981588,0.5871613175956244,0.4155897802829057,0.03801828710616905,450720,259608,332208,301603,0.5597062506184256,0.5824754731467504,0.022769222528324806,0.20770659109426912,0.15002657828085425,0.3374409106664724,7.379803191352389,199063,447734,20240312_1500,A_legacy_current_navigation,common_valid_all_candidates,A_inclusive_binary,Meteosat-0deg,legacy current cfgrib latitude/longitude,identity_cloud_mask_not_rotated,9665256,1345015,2024-03-12T15:00:51Z,D:\AAAresearch_paper\geo_ring_cloud_stage1_time_runs\20240312_1500
199063,0.497515861812592,0.4922187882888649,0.5474960335218259,0.44873385679826083,0.49811494516004334,0.51838798208869,0.3498810591584448,-0.003788370521313545,53832,45205,55534,44492,0.49393408117028276,0.54940395754108,0.0554698763707972,0.4036017060712969,0.7851830605011371,0.27160686316893573,4.020316622818061,141101,48809,20240312_1500,A_legacy_current_navigation,boundary_on_common_valid,A_inclusive_binary,Meteosat-0deg,legacy current cfgrib latitude/longitude,identity_cloud_mask_not_rotated,9665256,1345015,2024-03-12T15:00:51Z,D:\AAAresearch_paper\geo_ring_cloud_stage1_time_runs\20240312_1500
1145076,0.5338431684883798,0.5892375163682037,0.6068633132466563,0.4365975193299625,0.5217304162883094,0.597920547530396,0.42645268531482056,0.04370441344822849,396888,214403,276674,257111,0.5711402561926021,0.5882247117221914,0.01708445552958926,0.0,0.0,0.0,,0,361906,20240312_1500,A_legacy_current_navigation,nonboundary_on_common_valid,A_inclusive_binary,Meteosat-0deg,legacy current cfgrib latitude/longitude,identity_cloud_mask_not_rotated,9665256,1345015,2024-03-12T15:00:51Z,D:\AAAresearch_paper\geo_ring_cloud_stage1_time_runs\20240312_1500
1171068,0.5145158095003877,0.5445974919822709,0.5776259234545921,0.4415505029210479,0.50958821318782,0.5606256738010688,0.3894926174496644,0.019309376315435303,362715,239818,303309,265226,0.5362122438662827,0.5687321316951706,0.03251988782888782,0.20264938043264102,0.14653379949789763,0.3284181457296551,7.329089971250209,173815,389562,20240312_1500,A_legacy_current_navigation,inner_disk_vza_le_60_on_common_valid,A_inclusive_binary,Meteosat-0deg,legacy current cfgrib latitude/longitude,identity_cloud_mask_not_rotated,9665256,1345015,2024-03-12T15:00:51Z,D:\AAAresearch_paper\geo_ring_cloud_stage1_time_runs\20240312_1500
173071,0.6228368704173431,0.7527971669061795,0.7075380682092264,0.40645731068619195,0.5569976894477091,0.7294662765349005,0.5741416092014013,0.10947782032860089,88005,19790,28899,36377,0.7186761502504753,0.6754684493647116,-0.043207700885763645,0.24119584494552826,0.17271407837445574,0.399664147774979,10.262291191257807,25011,57876,20240312_1500,A_legacy_current_navigation,limb_vza_gt_60_on_common_valid,A_inclusive_binary,Meteosat-0deg,legacy current cfgrib latitude/longitude,identity_cloud_mask_not_rotated,9665256,1345015,2024-03-12T15:00:51Z,D:\AAAresearch_paper\geo_ring_cloud_stage1_time_runs\20240312_1500
1344139,0.8016499781644607,0.8143704280941391,0.8362299172031162,0.757691579815348,0.796960748509232,0.8251554261430708,0.7023528426693461,0.5963703941483969,629115,448414,143402,123208,0.5597062506184256,0.574729994442539,0.015023743824113422,0.3634757541940212,0.2606140945669877,0.6004782405570096,2.824420569023278,199063,458659,20240312_1500,B_patched_production_navigation,common_valid_all_candidates,A_inclusive_binary,Meteosat-0deg,patched production verified SEVIRI native-area navigation,identity_cloud_mask_not_rotated,9665257,1346573,2024-03-12T15:00:51Z,D:\AAAresearch_paper\geo_ring_cloud_stage1_time_runs\20240312_1500
199063,0.5359408830370285,0.5279330396144705,0.5715695049021602,0.5011663804484857,0.536367942675323,0.5488853619826639,0.3782508615119535,0.07290693013780626,56199,50487,50252,42125,0.49393408117028276,0.5347603522502926,0.04082627108000986,0.6168666865808017,0.8113076736420045,0.4976080963281621,1.052446210942435,141101,86543,20240312_1500,B_patched_production_navigation,boundary_on_common_valid,A_inclusive_binary,Meteosat-0deg,patched production verified SEVIRI native-area navigation,identity_cloud_mask_not_rotated,9665257,1346573,2024-03-12T15:00:51Z,D:\AAAresearch_paper\geo_ring_cloud_stage1_time_runs\20240312_1500
1145076,0.8478415406488303,0.8601489942438136,0.8760196881034986,0.8103148793366417,0.8431672837200701,0.8680118024491218,0.7668028733224564,0.6886020152264474,572916,397927,93150,81083,0.5711402561926021,0.5816784213449587,0.010538165152356616,0.0,0.0,0.0,,0,305621,20240312_1500,B_patched_production_navigation,nonboundary_on_common_valid,A_inclusive_binary,Meteosat-0deg,patched production verified SEVIRI native-area navigation,identity_cloud_mask_not_rotated,9665257,1346573,2024-03-12T15:00:51Z,D:\AAAresearch_paper\geo_ring_cloud_stage1_time_runs\20240312_1500
1171068,0.8124660566252344,0.8150507999604958,0.8411283862655886,0.7793278551793595,0.8102281207224741,0.8278842890876217,0.7063161779848461,0.6223823346472354,528179,423274,119853,99762,0.5362122438662827,0.5533683782666762,0.01715613440039343,0.36929814142519996,0.26348393815982746,0.6171389120616748,2.711849956379006,173815,407114,20240312_1500,B_patched_production_navigation,inner_disk_vza_le_60_on_common_valid,A_inclusive_binary,Meteosat-0deg,patched production verified SEVIRI native-area navigation,identity_cloud_mask_not_rotated,9665257,1346573,2024-03-12T15:00:51Z,D:\AAAresearch_paper\geo_ring_cloud_stage1_time_runs\20240312_1500
173071,0.7284640407693952,0.8108286138892236,0.8115000562782396,0.5163383926554252,0.6639192244668324,0.8111641961368924,0.6823181077664587,0.32804996587375745,100936,25140,23549,23446,0.7186761502504753,0.719271281728308,0.0005951314778327443,0.3176442762535478,0.23656861018143385,0.48326736236056134,4.006189405751671,25011,51093,20240312_1500,B_patched_production_navigation,limb_vza_gt_60_on_common_valid,A_inclusive_binary,Meteosat-0deg,patched production verified SEVIRI native-area navigation,identity_cloud_mask_not_rotated,9665257,1346573,2024-03-12T15:00:51Z,D:\AAAresearch_paper\geo_ring_cloud_stage1_time_runs\20240312_1500
